name,latitude,longitude,country,base_fob_name
Buhasa,23.599722,53.379444,United Arab Emirates,Buhasa
Medina Zayed,23.651944,53.820556,United Arab Emirates,Medina Zayed
Safran Air Force Base,23.651944,53.820556,United Arab Emirates,Safran Air Force Base
Al Hamra Aux,24.073981,52.463644,United Arab Emirates,Al Hamra Aux
Buraimi (Aut),24.23,55.78,United Arab Emirates,Buraimi (Aut)
Al Dhafra,24.248249,54.547722,United Arab Emirates,Al Dhafra
Al Ain Intl,24.261667,55.609167,United Arab Emirates,Al Ain Intl
Bateen,24.428333,54.458056,United Arab Emirates,Bateen
Abu Dhabi Intl,24.433056,54.651111,United Arab Emirates,Abu Dhabi Intl
Al Maktoum Intl Airport,24.896211,55.155534,United Arab Emirates,Al Maktoum Intl Airport
Dubai Minhad Ab,25.026819,55.366244,United Arab Emirates,Dubai Minhad Ab
Fujairah Intl,25.112222,56.324167,United Arab Emirates,Fujairah Intl
Dubai Intl,25.252778,55.364444,United Arab Emirates,Dubai Intl
Sharjah Intl,25.329167,55.516111,United Arab Emirates,Sharjah Intl
Ras Al Khaimah Intl,25.613333,55.938889,United Arab Emirates,Ras Al Khaimah Intl
Alizi,30.194167,66.009444,Afghanistan,Alizi
Deshoo,30.43,63.3,Afghanistan,Deshoo
Fob Rhino,30.48633564,64.52526351,Afghanistan,Fob Rhino
Taghaz,30.535833,63.476944,Afghanistan,Taghaz
Pay Banadar,30.543,63.9632,Afghanistan,Pay Banadar
Pay Banadir,30.543,63.9632,Afghanistan,Pay Banadir
Khan Nashin,30.548611,63.788611,Afghanistan,Khan Nashin
Khan Neshin Castle,30.548611,63.788611,Afghanistan,Khan Neshin Castle
Durzay,30.664167,64.068333,Afghanistan,Durzay
Zaranj Afld,30.97244607,61.86582178,Afghanistan,Zaranj Afld
Kostay,30.9725,64.176667,Afghanistan,Kostay
Kushtay,30.9725,64.176667,Afghanistan,Kushtay
Fob Spin Buldak,30.983,66.35,Afghanistan,Fob Spin Buldak
Boldak,31.008056,66.398056,Afghanistan,Boldak
Dwyer,31.101111,64.067222,Afghanistan,Dwyer
Fob Dwyer,31.101111,64.067222,Afghanistan,Fob Dwyer
Bury,31.116667,64.2,Afghanistan,Bury
Abp Hq,31.125556,64.211111,Afghanistan,Abp Hq
Amir Agha,31.125556,64.211111,Afghanistan,Amir Agha
Barcha,31.125556,64.211111,Afghanistan,Barcha
Gam Ser,31.125556,64.211111,Afghanistan,Gam Ser
Darvishan,31.128889,64.192222,Afghanistan,Darvishan
Dc Garmser,31.13210413,64.19806002,Afghanistan,Dc Garmser
Momenkhan,31.234444,65.985278,Afghanistan,Momenkhan
Gowragi,31.453333,64.349722,Afghanistan,Gowragi
Tarnak,31.4547,65.8286,Afghanistan,Tarnak
Mushan,31.465278,65.261111,Afghanistan,Mushan
Robinson,31.4656,65.3242,Afghanistan,Robinson
Talukan,31.4656,65.3242,Afghanistan,Talukan
Gorgan,31.4707,65.5745,Afghanistan,Gorgan
Gurgan,31.4707,65.5745,Afghanistan,Gurgan
Bandini,31.473889,64.031389,Afghanistan,Bandini
Zangabad,31.475556,65.386111,Afghanistan,Zangabad
Babaghday,31.482222,65.278056,Afghanistan,Babaghday
Nalgham,31.495278,65.314167,Afghanistan,Nalgham
Fob Sperwan Gar,31.49774118,65.41841645,Afghanistan,Fob Sperwan Gar
Seperwan,31.498056,65.425556,Afghanistan,Seperwan
Sperwan Ghar,31.498056,65.425556,Afghanistan,Sperwan Ghar
Kandahar Airport,31.50332905,65.84944466,Afghanistan,Kandahar Airport
Beatley,31.516667,64.116667,Afghanistan,Beatley
Beirut,31.516667,64.116667,Afghanistan,Beirut
Bishop,31.516667,64.116667,Afghanistan,Bishop
Azimijan Kariz Ap,31.518333,65.238889,Afghanistan,Azimijan Kariz Ap
Jawkari,31.520278,65.154167,Afghanistan,Jawkari
Coutu,31.521944,64.1225,Afghanistan,Coutu
Marjah,31.522,64.1185,Afghanistan,Marjah
Diwar,31.5294,65.3298,Afghanistan,Diwar
Haji Ramuddin II,31.5343,65.4103,Afghanistan,Haji Ramuddin II
Lakhokhel,31.5364,65.3055,Afghanistan,Lakhokhel
Fob Panjawi,31.54044913,65.44900281,Afghanistan,Fob Panjawi
Ap Kolk,31.542778,65.370278,Afghanistan,Ap Kolk
Burmohammad,31.543056,65.394722,Afghanistan,Burmohammad
Fob Zeldelmeyer,31.54864798,65.43952818,Afghanistan,Fob Zeldelmeyer
Ghariban,31.549722,65.393056,Afghanistan,Ghariban
Bust,31.55,64.367,Afghanistan,Bust
Walakan,31.551944,65.638611,Afghanistan,Walakan
Pashmul South,31.556944,65.434167,Afghanistan,Pashmul South
Bost Afld,31.55916561,64.36416574,Afghanistan,Bost Afld
Ashoque,31.575833,65.426667,Afghanistan,Ashoque
Makuan,31.579444,65.467778,Afghanistan,Makuan
Ap Makuan,31.579722,66.0225,Afghanistan,Ap Makuan
Fob Pasab,31.582739,65.433539,Afghanistan,Fob Pasab
Fob Wilson,31.582739,65.433539,Afghanistan,Fob Wilson
Cp 7-4,31.593333,65.611111,Afghanistan,Cp 7-4
Cp 72,31.593336,65.610981,Afghanistan,Cp 72
